qid,Len,Den,P7,P13
,b0114,pyruvate dehydrogenase%2C decarboxylase component E1%2C thiamin-binding,"""2664""",Q8
,b0115,pyruvate dehydrogenase%2C dihydrolipoyltransacetylase component E2,"""1893""",Q8
,b0116,lipoamide dehydrogenase%2C E3 component is part of three enzyme complexes,"""1425""",Q8
,b0117,hypothetical protein,"""1854""",Q8
,b0118,bifunctional aconitate hydratase 2%2F2-methylisocitrate dehydratase,"""2598""",Q8
,b0119,hypothetical protein,"""363""",Q8
,b0120,S-adenosylmethionine decarboxylase,"""795""",Q8
,b0121,spermidine synthase %28putrescine aminopropyltransferase%29,"""867""",Q8
,b0122,conserved protein%2C PulS_OutS family,"""348""",Q8
,b0123,multicopper oxidase %28laccase%29,"""1551""",Q8
,b0124,glucose dehydrogenase,"""2391""",Q8
,b0125,hypoxanthine phosphoribosyltransferase,"""537""",Q8
,b0126,carbonic anhydrase,"""663""",Q8
,b0127,putative transporter subunit: ATP-binding component of ABC superfamily,"""927""",Q8
,b0128,putative transporter subunit: membrane component of ABC superfamily,"""771""",Q8
,b0129,putative PTS Enzyme IIA,"""441""",Q8
,b0130,putative polysaccharide deacetylase lipoprotein,"""1230""",Q8
,b0131,aspartate 1-decarboxylase,"""381""",Q8
,b0132,putative transposase,"""903""",Q8
,b0133,pantothenate synthetase,"""852""",Q8
,b0134,3-methyl-2-oxobutanoate hydroxymethyltransferase,"""795""",Q8
,b0135,putative fimbrial-like adhesin protein,"""1239""",Q8
,b0137,putative fimbrial-like adhesin protein,"""606""",Q8
,b0138,putative fimbrial-like adhesin protein,"""570""",Q8
,b0139,putative outer membrane usher protein,"""2598""",Q8
,b0140,putative periplasmic pilin chaperone,"""741""",Q8
,b0141,putative fimbrial-like adhesin protein,"""585""",Q8
,b0142,2-amino-4-hydroxy-6-hydroxymethyldihyropteridine pyrophosphokinase,"""480""",Q8
,b0143,poly%28A%29 polymerase,"""1398""",Q8
,b0144,glutamyl-Q tRNA%28Asp%29 synthetase,"""927""",Q8
,b0145,DNA-binding transcriptional regulator of rRNA transcription%2C DnaK suppressor protein,"""456""",Q8
,b0146,putative DNA-binding transcriptional regulator,"""705""",Q8
,b0147,2%27-5%27 RNA ligase,"""531""",Q8
,b0148,putative ATP-dependent helicase,"""2430""",Q8
,b0149,fused glycosyl transferase and transpeptidase,"""2535""",Q8
,b0150,ferrichrome outer membrane transporter,"""2244""",Q8
,b0151,iron-hydroxamate transporter subunit,"""798""",Q8
,b0152,iron-hydroxamate transporter subunit,"""891""",Q8
,b0153,fused iron-hydroxamate transporter subunits of ABC superfamily: membrane components,"""1983""",Q8
,b0154,glutamate-1-semialdehyde aminotransferase %28aminomutase%29,"""1281""",Q8
,b0155,H%28%2B%29%2FCl%28-%29 exchange transporter,"""1422""",Q8
,b0156,iron-sulfur cluster insertion protein,"""345""",Q8
,b0157,inner membrane protein%2C UPF0126 family,"""624""",Q8
,b0158,vitamin B12 transporter subunit: periplasmic-binding component of ABC superfamily,"""801""",Q8
,b0159,5%27-methylthioadenosine%2FS-adenosylhomocysteine nucleosidase,"""699""",Q8
,b0160,deoxyguanosine triphosphate triphosphohydrolase,"""1518""",Q8
,b0161,serine endoprotease %28protease Do%29%2C membrane-associated,"""1425""",Q8
,b0162,DNA-binding transcriptional regulator for gar and gud operons%3B carbohydrate diacid regulator,"""1158""",Q8
,b0163,conserved protein%2C UPF0325 family,"""387""",Q8
,b0164,phosphodiesterase with model substrate bis-pNPP,"""813""",Q8
,b0166,2%2C3%2C4%2C5-tetrahydropyridine-2-carboxylate N-succinyltransferase,"""825""",Q8
,b0167,uridylyltransferase,"""2673""",Q8
,b0168,methionine aminopeptidase,"""795""",Q8
,b4414,novel sRNA%2C function unknown,"""136""",Q8
,b0169,30S ribosomal subunit protein S2,"""726""",Q8
,b0170,protein chain elongation factor EF-Ts,"""852""",Q8
,b0171,uridylate kinase,"""726""",Q8
,b0172,ribosome recycling factor,"""558""",Q8
,b0173,1-deoxy-D-xylulose 5-phosphate reductoisomerase,"""1197""",Q8
,b0174,undecaprenyl pyrophosphate synthase,"""762""",Q8
,b0175,CDP-diglyceride synthase,"""858""",Q8
,b0176,inner membrane zinc RIP metalloprotease%3B RpoE activator%2C by degrading RseA%3B cleaved signal peptide endoprotease,"""1353""",Q8
,b0177,outer membrane protein assembly factor%2C forms pores%3B required for OM biogenesis%3B in BamABCDE OM protein complex,"""2433""",Q8
,b0178,periplasmic chaperone,"""486""",Q8
,b0179,UDP-3-O-%283-hydroxymyristoyl%29-glucosamine N-acyltransferase,"""1026""",Q8
,b0180,%283R%29-hydroxymyristol acyl carrier protein dehydratase,"""456""",Q8
,b0181,UDP-N-acetylglucosamine acetyltransferase,"""789""",Q8
,b0182,tetraacyldisaccharide-1-P synthase,"""1149""",Q8
,b0184,DNA polymerase III alpha subunit,"""3483""",Q8
,b0185,acetyl-CoA carboxylase%2C carboxytransferase%2C alpha subunit,"""960""",Q8
,b0186,lysine decarboxylase 2%2C constitutive,"""2142""",Q8
,b0187,putative lyase,"""390""",Q8
,b0188,tRNA%28Ile%29-lysidine synthetase,"""1299""",Q8
,b0189,modulator of Rho-dependent transcription termination,"""255""",Q8
,b4406,hypothetical protein,"""201""",Q8
,b0190,hypothetical protein,"""546""",Q8
,b0191,alternative stalled-ribosome rescue factor B%3B peptidyl-tRNA hydrolase%2C ribosome-attached,"""423""",Q8
,b0192,lipoprotein involved with copper homeostasis and adhesion,"""711""",Q8
,b0193,putative lipoprotein,"""825""",Q8
,b0194,prolyl-tRNA synthetase,"""1719""",Q8
,b0195,tRNA-Thr%28GGU%29 m%286%29t%286%29A37 methyltransferase%2C SAM-dependent,"""708""",Q8
,b0196,putative outer membrane protein%2C signal,"""405""",Q8
,b0197,DL-methionine transporter subunit,"""816""",Q8
,b0198,DL-methionine transporter subunit,"""654""",Q8
,b0199,DL-methionine transporter subunit,"""1032""",Q8
,b0200,D%2CD-heptose 1%2C7-bisphosphate phosphatase,"""576""",Q8
,b0201,16S ribosomal RNA of rrnH operon,"""1542""",Q8
,b0202,tRNA-Ile,"""77""",Q8
,b0203,tRNA-Ala,"""76""",Q8
,b0204,23S ribosomal RNA of rrnH operon,"""2904""",Q8
,b0205,5S ribosomal RNA of rrnH operon,"""120""",Q8
,b0207,2%2C5-diketo-D-gluconate reductase B,"""804""",Q8
,b0206,tRNA-Asp,"""77""",Q8
,b0208,putative DNA-binding transcriptional regulator,"""915""",Q8
,b0209,hypothetical protein,"""801""",Q8
,b0210,putative S-adenosyl-L-methionine-dependent methyltransferase,"""624""",Q8
,b0211,putative membrane-bound lytic murein transglycosylase D,"""1359""",Q8
,b0212,hydroxyacylglutathione hydrolase,"""756""",Q8
,b0213,putative S-adenosyl-L-methionine-dependent methyltransferase,"""723""",Q8
,b0215,DNA polymerase III epsilon subunit,"""732""",Q8
,b0214,ribonuclease HI%2C degrades RNA of DNA-RNA hybrids,"""468""",Q8
,b0216,tRNA-Asp,"""77""",Q8
,b0217,lipoprotein,"""786""",Q8
,b4586,hypothetical protein,"""480""",Q8
,b0218,pseudo,"""357""",Q8
,b0219,putative C-N hydrolase family amidase%2C NAD%28P%29-binding,"""771""",Q8
,b0220,inhibitor of c-type lysozyme%2C periplasmic,"""474""",Q8
,b0221,acyl coenzyme A dehydrogenase,"""2445""",Q8
,b0222,D-sedoheptulose 7-phosphate isomerase,"""579""",Q8
,b0223,putative amidotransfease,"""768""",Q8
,b0224,hypothetical protein,"""741""",Q8
,b0225,translation inhibitor toxin of toxin-antitoxin pair YafQ%2FDinJ,"""279""",Q8
,b0226,antitoxin of YafQ-DinJ toxin-antitoxin system,"""261""",Q8
,b0227,putative lipoprotein and C40 family peptidase,"""750""",Q8
,b0228,RAYT REP element-mobilizing transposase%3B TnpA%28REP%29,"""498""",Q8
,b0229,pseudo,"""1713""",Q8
,b0230,pseudo,"""756""",Q8
,b0231,DNA polymerase IV,"""1056""",Q8
,b0232,antitoxin of the YafO-YafN toxin-antitoxin system,"""294""",Q8
,b0233,mRNA interferase toxin of the YafO-YafN toxin-antitoxin system,"""399""",Q8
,b0235,pseudo,"""207""",Q8
,b0237,aminoacyl-histidine dipeptidase %28peptidase D%29,"""1458""",Q8
,b0238,guanine-hypoxanthine phosphoribosyltransferase,"""459""",Q8
,b0239,fermentation-respiration switch protein%3B PTS Enzyme IIA%28Glc%29-binding protein%3B pNP-butyrate esterase activity,"""1245""",Q8
,b0240,sigma factor-binding protein%2C stimulates RNA polymerase holoenzyme formation,"""402""",Q8
,b0241,outer membrane phosphoporin protein E,"""1056""",Q8
,b0242,gamma-glutamate kinase,"""1104""",Q8
,b0243,gamma-glutamylphosphate reductase,"""1254""",Q8
,b0244,tRNA-Thr,"""76""",Q8
,b4626,pseudo,"""63""",Q8
,b0245,CP4-6 prophage%3B toxin of the YkfI-YafW toxin-antitoxin system,"""342""",Q8
,b0247,CP4-6 prophage%3B predicted DNA repair protein,"""477""",Q8
,b0248,CP4-6 prophage%3B putative protein,"""459""",Q8
,b0249,CP4-6 prophage%3B putative protein,"""240""",Q8
,b0250,CP4-6 prophage%3B putative protein,"""468""",Q8
,b0251,lipoprotein%2C inner membrane%3B overproduction stimulates degP expression%3B CP4-6 prophage,"""444""",Q8
,b4627,pseudo,"""222""",Q8
,b4628,pseudo,"""192""",Q8
,b0252,CP4-6 prophage%3B conserved protein,"""822""",Q8
,b0253,CP4-6 prophage%3B predicted GTP-binding protein,"""864""",Q8
,b0254,CP4-6 prophage%3B predicted DNA-binding transcriptional regulator,"""894""",Q8
,b0256,IS30 transposase,"""1152""",Q8
,b4587,pseudo,"""426""",Q8
,b4690,novel sRNA%2C function unknown%2C CP4-6 propahge,"""75""",Q8
,b0258,pseudo,"""1108""",Q8
,b0259,IS5 transposase and trans-activator,"""1017""",Q8
,b0260,CP4-6 prophage%3B predicted S-methylmethionine transporter,"""1404""",Q8
,b0261,CP4-6 prophage%3B S-methylmethionine:homocysteine methyltransferase,"""933""",Q8
,b0262,CP4-6 prophage%3B predicted ferric transporter subunit,"""1047""",Q8
,b0263,pseudo,"""348""",Q8
,b0264,IS1 transposase B,"""504""",Q8
,b0265,IS1 repressor TnpA,"""276""",Q8
,b4708,pseudo,"""174""",Q8
,b4505,pseudo,"""249""",Q8
,b0266,pseudo,"""309""",Q8
,b0267,CP4-6 prophage%3B predicted DNA-binding transcriptional regulator,"""1155""",Q8
,b0268,2-keto-3-deoxy gluconate %28KDG%29 aldolase%3B CP4-6 prophage,"""909""",Q8
,b0269,CP4-6 prophage%3B predicted dehydratase,"""1968""",Q8
,b0270,CP4-6 prophage%3B predicted sugar transporter,"""1383""",Q8
,b0272,CP4-6 prophage%3B predicted DNA-binding transcriptional regulator,"""759""",Q8
,b0273,ornithine carbamoyltransferase 2%2C chain F%3B CP4-6 prophage,"""1005""",Q8
,b4688,pseudo,"""205""",Q8
,b0274,IS1 transposase B,"""504""",Q8
,b0275,IS1 repressor TnpA,"""276""",Q8
,b0276,pseudo,"""828""",Q8
,b0277,CP4-6 prophage%3B conserved protein,"""627""",Q8
,b0278,CP4-6 prophage%3B DNA-binding protein,"""699""",Q8
,b0279,CP4-6 prophage%3B putative protein,"""855""",Q8
,b0280,CP4-6 prophage%3B putative protein,"""441""",Q8
,b0281,CP4-6 prophage%3B predicted phage integrase,"""1401""",Q8
,b4629,pseudo,"""49""",Q8
,b4694,pseudo,"""339""",Q8
,b4695,pseudo,"""78""",Q8
,b0283,moco insertion factor for PaoABC aldehyde oxidoreductase,"""957""",Q8
,b0284,PaoABC aldehyde oxidoreductase%2C Moco-containing subunit,"""2199""",Q8
,b0285,PaoABC aldehyde oxidoreductase%2C FAD-containing subunit,"""957""",Q8
,b0286,PaoABC aldehyde oxidoreductase%2C 2Fe-2S subunit,"""690""",Q8
,b0287,inner membrane protein%2C DUF1440 family,"""615""",Q8
,b0288,UPF0153 cysteine cluster protein%2C function unknown,"""330""",Q8
,b0289,hypothetical protein,"""711""",Q8
,b0290,putative receptor,"""1644""",Q8
,b0291,putative aromatic compound dioxygenase,"""2526""",Q8
,b0293,cryptic Mat fimbrillin gene,"""588""",Q8
,b0294,putative regulator,"""591""",Q8
,b0295,hypothetical protein,"""228""",Q8
,b4506,RpmJ-like protein,"""141""",Q8
,b0296,50S ribosomal protein L31 type B%3B alternative L31 utilized during zinc limitation,"""264""",Q8
,b4671,hypothetical protein,"""102""",Q8
,b4630,pseudo,"""90""",Q8
,b0298,IS3 transposase A,"""300""",Q8
,b0299,IS3 transposase B,"""867""",Q8
,b0300,pseudo,"""684""",Q8
,b4631,pseudo,"""129""",Q8
,b0301,inner membrane protein%2C DUF417 family,"""594""",Q8
,b0303,hypothetical protein,"""237""",Q8
,b0304,putative pyridine nucleotide-disulfide oxidoreductase,"""1326""",Q8
,b0305,putative DNA-binding transcriptional regulator,"""855""",Q8
,b0306,putative oxidoreductase,"""720""",Q8
,b0307,putative electron transport protein with ferridoxin-like domai,"""1428""",Q8
,b0308,putative transporter,"""696""",Q8
,b0310,putative inner membrane protein,"""669""",Q8
,b0311,choline dehydrogenase%2C a flavoprotein,"""1671""",Q8
,b0312,betaine aldehyde dehydrogenase%2C NAD-dependent,"""1473""",Q8
,b0313,DNA-binding transcriptional repressor,"""588""",Q8
,b0314,choline transporter of high affinity,"""2034""",Q8
,b0315,c-di-GMP-specific phosphodiesterase,"""1089""",Q8
,b0316,putative DNA-bindng transcriptional regulator,"""933""",Q8
,b0317,putative inner membrane protein,"""498""",Q8
,b0319,hypothetical protein,"""864""",Q8
,b0318,ankyrin repeat protein,"""606""",Q8
,b0321,hypothetical protein,"""1419""",Q8
,b0323,carbamate kinase-like protein,"""951""",Q8
,b0324,putative deaminase with metallo-dependent hydrolase domain,"""1383""",Q8
,b0325,putative oxidoreductase%2C Zn-dependent and NAD%28P%29-binding,"""1050""",Q8
,b0326,hypothetical protein,"""816""",Q8
,b0327,hypothetical protein,"""246""",Q8
,b0328,amino acid exporter for proline%2C lysine%2C glutamate%2C homoserine,"""672""",Q8
,b0329,periplasmic protein%2C function unknown%2C YhcN family,"""276""",Q8
,b0330,propionate catabolism operon regulatory protein,"""1587""",Q8
,b0333,2-methylcitrate synthase,"""1170""",Q8
,b0334,2-methylcitrate dehydratase,"""1452""",Q8
,b0335,propionate--CoA ligase,"""1887""",Q8
,b0336,cytosine transporter,"""1260""",Q8
,b0337,cytosine%2Fisoguanine deaminase,"""1284""",Q8
,b0338,transcriptional activator of cyn operon%3B autorepressor,"""900""",Q8
,b0339,carbonic anhydrase,"""660""",Q8
,b0340,cyanate aminohydrolase,"""471""",Q8
,b0341,putative cyanate transporter,"""1155""",Q8
,b0342,thiogalactoside acetyltransferase,"""612""",Q8
,b0343,lactose permease,"""1254""",Q8
,b0344,beta-D-galactosidase,"""3075""",Q8
,b0345,DNA-binding transcriptional repressor,"""1083""",Q8
,b0346,DNA-binding transcriptional activator%2C 3HPP-binding,"""834""",Q8
,b0348,2%2C3-dihydroxyphenylpropionate 1%2C2-dioxygenase,"""945""",Q8
,b0349,2-hydroxy-6-ketonona-2%2C4-dienedioic acid hydrolase,"""867""",Q8
,b0350,2-keto-4-pentenoate hydratase,"""810""",Q8
,b0353,putative 3-hydroxyphenylpropionic transporter,"""1212""",Q8
,b0354,hypothetical protein,"""540""",Q8
,b0355,S-formylglutathione hydrolase,"""834""",Q8
,b0356,alcohol dehydrogenase class III%2Fglutathione-dependent formaldehyde dehydrogenase,"""1110""",Q8
,b0357,regulator protein that represses frmRAB operon,"""276""",Q8
,b0358,outer membrane protein,"""774""",Q8
,b4579,pseudo,"""416""",Q8
,b0360,IS2 repressor TnpA,"""366""",Q8
,b0361,IS2 transposase TnpB,"""906""",Q8
,b4579,pseudo,"""282""",Q8
,b0363,putative glucosyltransferase,"""1197""",Q8
,b0364,hypothetical protein,"""558""",Q8
,b0368,taurine dioxygenase%2C 2-oxoglutarate-dependent,"""852""",Q8
,b0369,5-aminolevulinate dehydratase %28porphobilinogen synthase%29,"""975""",Q8
,b4580,pseudo,"""1458""",Q8
,b0372,IS3 transposase B,"""867""",Q8
,b4580,pseudo,"""1449""",Q8
,b0373,IS3 transposase A,"""300""",Q8
,b0375,putative DNA-binding transcriptional regulator,"""624""",Q8
,b0376,penicillin-binding protein,"""1158""",Q8
,b0377,microcin B17 transporter,"""1221""",Q8
,b0378,putative lipoprotein required for swarming phenotype,"""1095""",Q8
,b0379,inner membrane protein%2C DUF2755 family,"""309""",Q8
,b0380,putative inner membrane protein%2C DUF2754 family,"""213""",Q8
,b0381,D-alanine-D-alanine ligase A,"""1095""",Q8
,b0382,anti-RssB factor%2C RpoS stabilzer during Pi starvation%3B anti-adapter protein,"""261""",Q8
,b0383,bacterial alkaline phosphatase,"""1416""",Q8
,b0384,conserved protein%2C PsiF family%2C pho regulon,"""321""",Q8
,b0385,diguanylate cyclase%2C cellulose regualtor,"""1116""",Q8
,b0386,pyrroline-5-carboxylate reductase%2C NAD%28P%29-binding,"""810""",Q8
,b0387,conserved protein%2C UPF0178 family%2C downregulated by beryllium,"""459""",Q8
,b0388,shikimate kinase II,"""525""",Q8
,b0389,OxyR-regulated conserved protein,"""192""",Q8
,b0390,conserved protein%2C AroM family,"""678""",Q8
,b0392,pseudo,"""342""",Q8
,b0391,conserved protein%2C UPF0345 family,"""285""",Q8
,b0393,nucleoid-associated ssDNA and dsDNA binding protein%3B competitive inhibitor of RecA function,"""912""",Q8
,b0394,manno%28fructo%29kinase,"""909""",Q8
,b0396,arabinose-inducible predicted transporter%2C MFS family,"""1185""",Q8
,b0397,exonuclease%2C dsDNA%2C ATP-dependent,"""3147""",Q8
,b0398,exonuclease%2C dsDNA%2C ATP-dependent,"""1203""",Q8
,b0399,DNA-binding response regulator in two-component regulatory system with PhoR %28or CreC%29,"""690""",Q8
,b0400,sensory histidine kinase in two-component regulatory system with PhoB,"""1296""",Q8
,b0401,branched-chain amino acid transport system 2 carrier protein%3B LIV-II transport system for Ile%2C Leu%2C and Val,"""1320""",Q8
,b0402,proline-specific permease,"""1374""",Q8
,b0403,maltodextrin glucosidase,"""1815""",Q8
,b0404,hypothetical protein,"""582""",Q8
,b0405,S-adenosylmethionine:tRNA ribosyltransferase-isomerase,"""1071""",Q8
,b0406,tRNA-guanine transglycosylase,"""1128""",Q8
,b0407,SecYEG protein translocase auxillary subunit,"""333""",Q8
,b0408,SecYEG protein translocase auxillary subunit,"""1848""",Q8
,b0409,SecYEG protein translocase auxillary subunit,"""972""",Q8
,b0410,conserved protein%2C HNH family,"""348""",Q8
,b0411,nucleoside channel%2C receptor of phage T6 and colicin K,"""885""",Q8
,b0412,putative lipoprotein,"""540""",Q8
,b0413,hypothetical protein,"""450""",Q8
,b0414,fused diaminohydroxyphosphoribosylaminopyrimidine deaminase and 5-amino-6-%285-phosphoribosylamino%29 uracil reductase,"""1104""",Q8
,b0415,riboflavin synthase beta chain,"""471""",Q8
,b0417,thiamin-monophosphate kinase,"""978""",Q8
,b0418,phosphatidylglycerophosphatase A,"""519""",Q8
,b0419,2-carboxybenzaldehyde reductase,"""975""",Q8
,b0420,1-deoxyxylulose-5-phosphate synthase%2C thiamine-requiring%2C FAD-requiring,"""1863""",Q8
,b0421,geranyltranstransferase,"""900""",Q8
,b0422,exonuclease VII small subunit,"""243""",Q8
,b0423,tRNA s%284%29U8 sulfurtransferase,"""1449""",Q8
,b0424,oxidative-stress-resistance chaperone,"""591""",Q8
,b0425,2-dehydropantoate reductase%2C NADPH-specific,"""912""",Q8
,b0426,phage Phi6 host factor%2C ATP%2FGTP binding protein,"""492""",Q8
,b0427,putative transporter,"""1365""",Q8
,b0428,protoheme IX farnesyltransferase,"""891""",Q8
,b0429,cytochrome o ubiquinol oxidase subunit IV,"""330""",Q8
,b0430,cytochrome o ubiquinol oxidase subunit III,"""615""",Q8
,b0431,cytochrome o ubiquinol oxidase subunit I,"""1992""",Q8
,b0432,cytochrome o ubiquinol oxidase subunit II,"""948""",Q8
,b0433,muropeptide transporter,"""1476""",Q8
,b0434,putative lipoprotein,"""579""",Q8
,b0435,stationary-phase morphogene%2C transcriptional repressor for mreB%3B also regulator for dacA%2C dacC%2C and ampC,"""318""",Q8
,b0436,peptidyl-prolyl cis%2Ftrans isomerase %28trigger factor%29,"""1299""",Q8
